Service,Category,Subcategory,Team Default,Aliases
Enterprise Applications,JunoSpace,Enhancement Request,IT - Monitoring (Server/App),
Enterprise Applications,JunoNSM,Report an Application Issue,IT - Monitoring (Server/App),
Enterprise Applications,ITSA,Report an Application Issue,IT - Monitoring (Server/App),
Enterprise Applications,ITSA,Enhancement Request,IT - Monitoring (Server/App),
Enterprise Applications,IVR Dashboard,Report an Application Issue,IT - Monitoring (Server/App),
Enterprise Applications,IVR Dashboard,Enhancement Request,IT - Monitoring (Server/App),
Enterprise Applications,IVR DOJ Dashboard,Report an Application Issue,IT - Monitoring (Server/App),
Enterprise Applications,IVR DOJ Dashboard,Enhancement Request,IT - Monitoring (Server/App),
Enterprise Applications,Telemetry Reports,Enhancement Request,IT - Monitoring (Server/App),
Enterprise Applications,ITCA,Report an Application Issue,IT - Monitoring (Server/App),
Enterprise Applications,ITCA,Enhancement Request,IT - Monitoring (Server/App),
Enterprise Applications,ITCA PM,Report an Application Issue,IT - Monitoring (Server/App),
Enterprise Applications,ITCA PM,Enhancement Request,IT - Monitoring (Server/App),
Enterprise Applications,ITCA UIM,Report an Application Issue,IT - Monitoring (Server/App),
Enterprise Applications,Octane,Octane - Jira Bridge Creation/Modification,IT - Octane,
Enterprise Applications,Octane,Build a new Octane Project,IT - Octane,
Enterprise Applications,Octane,Change to Existing Access,IT - Octane,
Enterprise Applications,Octane,Enhancement Request,IT - Octane,
Enterprise Applications,Octane,Issue with a Report,IT - Octane,
Enterprise Applications,Octane,Request a change to a Report,IT - Octane,
Enterprise Applications,Octane,Request a new Report,IT - Octane,
Enterprise Applications,Octane,Report an Application Issue,IT - Octane,
Enterprise Applications,Octane,Access Request,IT - Octane,
People Management,Account Management,Employee Directory Change,IT - Panorama,
Enterprise Applications,DOCK,DOCK Support Request,IT - Prism Support,
Process Management,IT Release Automation,IT Release Management Deployment Request,IT - Release MGT,
Security,IT - Security,Waiver Request,IT - Security Compliance,
Security,IT - Security,PCI/VRF Exception,IT - Security Compliance,
Security,IT - Security,Security Compliance,IT - Security Compliance,
Enterprise Applications,UNIFIED INVENTORY MANAGEMENT (UIM/SDP),Unexpected Change to Access,IT - Service Activation Admins,
Enterprise Applications,UNIFIED INVENTORY MANAGEMENT (UIM/SDP),Access Request,IT - Service Activation Admins,
Enterprise Applications,AUTOMATED SERVICE ACTIVATION PROGRAM (ASAP/SDP),Unexpected Change to Access,IT - Service Activation Admins,
Enterprise Applications,ORDER AND SERVICE MANAGEMENT (OSM/SDP),Access Request,IT - Service Activation Admins,
Enterprise Applications,ORDER AND SERVICE MANAGEMENT (OSM/SDP),Unexpected Change to Access,IT - Service Activation Admins,
Enterprise Applications,AUTOMATED SERVICE ACTIVATION PROGRAM (ASAP/SDP),Access Request,IT - Service Activation Admins,
Data Management,SOLO DB,Request a change to a Report,IT - Solo DB - Development,
Data Management,SOLO DB,Request a new Report,IT - Solo DB - Development,
Data Management,SOLO DB,Request App Client Software,IT - Solo DB - Development,
Data Management,SOLO DB,Unexpected Change to Access,IT - Solo DB - Development,
Data Management,SOLO DB,Enhancement Request,IT - Solo DB - Development,
Data Management,SOLO DB,Issue with a Report,IT - Solo DB - Development,
Data Management,SOLO DB,Issue with App Client Software,IT - Solo DB - Development,
Data Management,SOLO DB,Report an Application Issue,IT - Solo DB - Development,
Data Management,SOLO DB,SOLO DB Access Request,IT - Solo DB - Development,
Data Center Services,Enterprise Storage,New Application Server Share or Block Storage,IT - Storage,
Data Center Services,Enterprise Storage,Expand Existing Application Server Share or Block Storage,IT - Storage,
Data Center Services,Enterprise Storage,Reclaim,IT - Storage,
Data Center Services,Enterprise Storage,Issue with Storage,IT - Storage,
Enterprise Applications,CSEP - TRUNK AUTOMATION PLATFORM (TAP/TWC),Access Request,IT - T3 Access Management,
Enterprise Applications,CSEP - BILLING AND REVENUE MANAGEMENT (BRM),Access Request,IT - T3 Access Management,
Enterprise Applications,CSEP - BIP,Access Request,IT - T3 Access Management,
Enterprise Applications,CSEP -SIEBEL (CRM),Access Request,IT - T3 Access Management,
Enterprise Applications,Siebel / CRM / T3,Access Request,IT - T3 Access Management,
Enterprise Applications,CSEP -ORDER AND SERVICE MANAGEMENT (OSM/T3),Access Request,IT - T3 Access Management,
Enterprise Applications,CSEP - VIPR,Access Request,IT - T3 Access Management,
Enterprise Applications,CSEP - M6 (Metasolv Solution),Access Request,IT - T3 Access Management,
Enterprise Applications,EXPEDITER,Access Request,IT - T3 Access Management,
Enterprise Applications,EXPEDITER,Unexpected Change to Access,IT - T3 Access Management,
Enterprise Applications,CSEP -EXPO,Access Request,IT - T3 Access Management,
Enterprise Applications,CSEP -EXPO,Enhancement Request,IT - T3 Support,
Enterprise Applications,CSEP - M6 (Metasolv Solution),Enhancement Request,IT - T3 Support,
Enterprise Applications,CSEP - VIPR,Enhancement Request,IT - T3 Support,
Enterprise Applications,CSEP - TRUNK AUTOMATION PLATFORM (TAP/TWC),Enhancement Request,IT - T3 Support,
Enterprise Applications,CSEP -ORDER AND SERVICE MANAGEMENT (OSM/T3),Enhancement Request,IT - T3 Support,
Enterprise Applications,CSEP -SIEBEL (CRM),Enhancement Request,IT - T3 Support,
Enterprise Applications,CSEP - BIP,Enhancement Request,IT - T3 Support,
Enterprise Applications,CSEP - BILLING AND REVENUE MANAGEMENT (BRM),Enhancement Request,IT - T3 Support,
Enterprise Applications,"CSEP - CONFIGURE, PRICE, QUOTE (CPQ)",Enhancement Request,IT - T3 Support,
Enterprise Applications,"CSEP - CONFIGURE, PRICE, QUOTE (CPQ)",Issue with a Report,IT - T3 Support Level 1 Triage,
Enterprise Applications,"CSEP - CONFIGURE, PRICE, QUOTE (CPQ)",Report an Application Issue,IT - T3 Support Level 1 Triage,
Enterprise Applications,Enterprise Gateway,Enhancement Request,IT - T3 Support Level 1 Triage,
Enterprise Applications,Enterprise Gateway,Issue with a Report,IT - T3 Support Level 1 Triage,
Enterprise Applications,Enterprise Gateway,Issue with App Client Software,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP -EXPO,Request a change to a Report,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP -EXPO,Request a new Report,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP -EXPO,Request App Client Software,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP -EXPO,Unexpected Change to Access,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP - BILLING AND REVENUE MANAGEMENT (BRM),Issue with a Report,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP - BILLING AND REVENUE MANAGEMENT (BRM),Issue with App Client Software,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP - BIP,Issue with a Report,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP - BIP,Issue with App Client Software,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP - BIP,Report an Application Issue,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP -SIEBEL (CRM),Issue with a Report,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP -SIEBEL (CRM),Issue with App Client Software,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP -ORDER AND SERVICE MANAGEMENT (OSM/T3),Request App Client Software,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP -ORDER AND SERVICE MANAGEMENT (OSM/T3),Unexpected Change to Access,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP - TRUNK AUTOMATION PLATFORM (TAP/TWC),Issue with a Report,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP - TRUNK AUTOMATION PLATFORM (TAP/TWC),Issue with App Client Software,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP - TRUNK AUTOMATION PLATFORM (TAP/TWC),Report an Application Issue,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP - VIPR,Issue with a Report,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP - VIPR,Issue with App Client Software,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP - VIPR,Report an Application Issue,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP - M6 (Metasolv Solution),Issue with a Report,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP - M6 (Metasolv Solution),Issue with App Client Software,IT - T3 Support Level 1 Triage,
Enterprise Applications,OSG View Plus,Request a new Report,IT - T3 Support Level 1 Triage,
Enterprise Applications,OSG View Plus,Request App Client Software,IT - T3 Support Level 1 Triage,
Enterprise Applications,OSG View Plus,Unexpected Change to Access,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP - M6 (Metasolv Solution),Report an Application Issue,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP - M6 (Metasolv Solution),Request a new Report,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP - M6 (Metasolv Solution),Request App Client Software,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP - M6 (Metasolv Solution),Unexpected Change to Access,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP - M6 (Metasolv Solution),Request a change to a Report,IT - T3 Support Level 1 Triage,
Enterprise Applications,OSG View Plus,Access Request,IT - T3 Support Level 1 Triage,
Enterprise Applications,OSG View Plus,Enhancement Request,IT - T3 Support Level 1 Triage,
Enterprise Applications,OSG View Plus,Issue with a Report,IT - T3 Support Level 1 Triage,
Enterprise Applications,OSG View Plus,Issue with App Client Software,IT - T3 Support Level 1 Triage,
Enterprise Applications,OSG View Plus,Report an Application Issue,IT - T3 Support Level 1 Triage,
Enterprise Applications,OSG View Plus,Request a change to a Report,IT - T3 Support Level 1 Triage,
Enterprise Applications,ViewPlus,Access Request,IT - T3 Support Level 1 Triage,
Enterprise Applications,ViewPlus,Report an Application Issue,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP - BILLING AND REVENUE MANAGEMENT (BRM),Report an Application Issue,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP - BILLING AND REVENUE MANAGEMENT (BRM),Request a change to a Report,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP - BILLING AND REVENUE MANAGEMENT (BRM),Request a new Report,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP - BILLING AND REVENUE MANAGEMENT (BRM),Request App Client Software,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP - BILLING AND REVENUE MANAGEMENT (BRM),Unexpected Change to Access,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP - BIP,Request a change to a Report,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP - BIP,Request a new Report,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP - BIP,Request App Client Software,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP - BIP,Unexpected Change to Access,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP -EXPO,Issue with a Report,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP -EXPO,Issue with App Client Software,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP -EXPO,Report an Application Issue,IT - T3 Support Level 1 Triage,
Enterprise Applications,"CSEP - CONFIGURE, PRICE, QUOTE (CPQ)",Request a change to a Report,IT - T3 Support Level 1 Triage,
Enterprise Applications,"CSEP - CONFIGURE, PRICE, QUOTE (CPQ)",Request a new Report,IT - T3 Support Level 1 Triage,
Enterprise Applications,CSEP -SIEBEL (CRM),Report an Application Issue,IT - T3 Support Level 1 Triage,
