Service,Category,Subcategory,Team Default,Aliases
Enterprise Applications,Wireless (Mobility Management),Report an Application Issue,IT Support Desk,
Enterprise Applications,WIFIAMR,Enhancement Request,IT Support Desk,
Enterprise Applications,WIFIAMR,Issue with a Report,IT Support Desk,
Enterprise Applications,WIFIAMR,Issue with App Client Software,IT Support Desk,
Enterprise Applications,WIFIAMR,Report an Application Issue,IT Support Desk,
Enterprise Applications,Talent Center - LMS,Report an Application Issue,IT Support Desk,
Enterprise Applications,Termination and Transfer,Report an Application Issue,IT Support Desk,
Enterprise Applications,WebEx,Report an Application Issue,IT Support Desk,
Store Maintenance,Technology,Qmatic,IT Support Desk,
IT Network Services,NAC,Unable to run agent,IT Support Desk,
IT Network Services,NAC,No access to any network resources after agent completes,IT Support Desk,
IT Network Services,NAC,Agent fails compliance,IT Support Desk,
IT Network Services,NAC,Requires additional application access,IT Support Desk,
IT Network Services,NAC,Password reset,IT Support Desk,
Enterprise Applications,CRM\CRM Lite,Billing System Issue,IT Support Desk,
Enterprise Applications,RSSX,Report an Application Issue,IT Support Desk,
Enterprise Applications,SPARK (Rewards Network),Report an Application Issue,IT Support Desk,
IT Network Services,NetIQ - Advanced Authentication,VPN Client Configuration - Existing GlobalProtect Client,IT Support Desk,
IT Network Services,NetIQ - Advanced Authentication,VPN Client Configuration - New GlobalProtect Client,IT Support Desk,
IT Network Services,NetIQ - Advanced Authentication,Advanced Auth VPN Gateway - Connection Issues,IT Support Desk,
Desktop Management,Laptops,Elite Enterprise Sales Laptop/Tablet Bundle,IT Support Desk,
Desktop Management,Laptops,Elite Laptop/Tablet,IT Support Desk,
Desktop Management,Desktops,Tech Exception,IT Support Desk,
Desktop Management,Desktops,Workstation Desktop,IT Support Desk,
Enterprise Applications,Wireless WiFi,Issue with App Client Software,IT Support Desk,
Security,Password Reset,Istonish (TPV),IT Support Desk,
Security,Password Reset,Neustar Clearing House,IT Support Desk,
Security,Password Reset,Neustar ESR,IT Support Desk,
Security,Password Reset,Neustar LIDB,IT Support Desk,
Security,Password Reset,TACACS\Converged Network Access TWC,IT Support Desk,
Security,Password Reset,Technet,IT Support Desk,
Security,Password Reset,TWC ACSR,IT Support Desk,
Security,Password Reset,UNIX,IT Support Desk,
Security,Password Reset,Voicemail,IT Support Desk,
